WKT;codpostal;codtienda1;codtienda;tienda;retail;direccion1;direccion2;distrito;provincia;departamen;pais;cartodb_id;latitud;longitud;link_googl;telefono_p;otros_tele;horario_do;horario_lu;horario_ma;horario_mi;horario_ju;horario_vi;horario_sa
POINT (-73.2696289 -3.7658021);16001;;;IQUITOS;MOTOCORP;JOSE ABELARDO QUIÑONES 1373;AV QUIÑONES (KM 1.5);IQUITOS;MAYNAS;LORETO;PE;169;-3.7658021;-73.2696289;;(065) 263740;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-80.6432334 -5.1915757);20001;;;PIURA;MOTOCORP;MIGUEL GRAU CON VICE;ESQUINA DE PROLONGACION GRAU CON AV. VICE;PIURA;PIURA;PIURA;PE;170;-5.1915757;-80.6432334;;(073) 322939;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-76.9699091 -6.0355171);22001;;;MOYOBAMBA;MOTOCORP;CALLAO 306;ESQ. JR. CALLAO C/ 20 DE ABRIL;MOYOBAMBA;MOYOBAMBA;SAN MARTIN;PE;171;-6.0355171;-76.9699091;;(042) 563266;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-76.94323 -12.2104671);15831;;;EXPRESS VES;MOTOCORP EXPRESS;JUAN VELASCO A. 1093 (AL FRENTE);AV. JUAN VELASCO A. 1093;VILLA EL SALVADOR;LIMA;LIMA;PE;172;-12.2104671;-76.94323;;(01) 5851261;;;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00
POINT (-77.1274282 -11.8783071);7061;;;EXPRESS VENTANILLA;MOTOCORP EXPRESS;AV.LA PLAYA, VENTANILLA, SEDAPAL;AL FRENTE DE LA MUNICIPALIDAD DE VENTANILLA;VENTANILLA;CALLAO;LIMA;PE;173;-11.8783071;-77.1274282;;;;;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00
POINT (-76.9669246 -12.1563119);15803;;;EXPRESS SJM 2;MOTOCORP EXPRESS;AV LOS HEROES CON ANTONIO OLIVEIRA;AL LADO DE LA IGLESIA JESUCRISTO DEL SEÑOR (FACHADA AZUL);SAN JUAN DE MIRAFLORES;LIMA;LIMA;PE;174;-12.1563119;-76.9669246;;(01) 3436272;;;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00
POINT (-76.1069182 -5.8960998);16501;;;YURIMAGUAS;MOTOCORP;CALLE JOSE RIERA 107;CERCA A LA AV. MONSEÑOR ATANASIO JAUREGUI;YURIMAGUAS;ALTO AMAZONAS;LORETO;PE;175;-5.8960998;-76.1069182;;(065) 352193;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-76.2460183 -9.9378183);10003;;;HUANUCO;MOTOCORP;JIRON 2 DE MAYO 287;CERCA A LA ESTACION DE SERVICIOS DURAND;HUANUCO;HUANUCO;HUANUCO;PE;176;-9.9378183;-76.2460183;;(062) 519525;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-75.7356783 -14.0711152);11004;;;ICA;MOTOCORP;AV AYABACA CON LEON ARECHUA;AL FRENTE DE MULTICINES UVK;ICA;ICA;ICA;PE;177;-14.0711152;-75.7356783;;(056) 237654;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-76.3649904 -6.4932559);22201;;;TARAPOTO;MOTOCORP;JR. SANTA INES 150;ESQUINA DE JR. JIMENEZ PIMENTEL Y JR. SANTA INES;TARAPOTO;SAN MARTIN;SAN MARTIN;PE;178;-6.4932559;-76.3649904;;(042) 341631;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
